genus,species,family,WD (g/cm3),level,source
Ouratea,knappiae,Ochnaceae,0.743,genus,genus average
Ouratea,lucens,Ochnaceae,0.743,genus,genus average
Ouratea,prominens,Ochnaceae,0.743,genus,genus average
Ouratea,sulcatinervia,Ochnaceae,0.743,genus,genus average
Oxandra,longipetala,Annonaceae,0.737,genus,genus average
Oxandra,panamensis,Annonaceae,0.737,genus,genus average
Oxandra,venezuelana,Annonaceae,0.737,genus,genus average
Pachira,aquatica,Malvaceae,0.377,species,local data base
Pachira,sessilis,Malvaceae,0.42,species,local data base
Palicourea,allenii,Rubiaceae,0.55,genus,genus average
Palicourea,guianensis,Rubiaceae,0.54,species,local data base
Palicourea,triphylla,Rubiaceae,0.55,genus,genus average
Palicourea,crocea,Rubiaceae,0.56,species, global data base
Palicourea,umbelliformis,Rubiaceae,0.55,genus,genus average
Palicourea,hondensis,Rubiaceae,0.55,genus,genus average
Palicourea,acuminata,Rubiaceae,0.55,genus,genus average
Palicourea,brachiata,Rubiaceae,0.55,genus,genus average
Palicourea,capitata,Rubiaceae,0.55,genus,genus average
Palicourea,cyanococca,Rubiaceae,0.55,genus,genus average
Palicourea,deflexa,Rubiaceae,0.55,genus,genus average
Palicourea,elata,Rubiaceae,0.55,genus,genus average
Palicourea,glomerulata,Rubiaceae,0.55,genus,genus average
Palicourea,gracilenta,Rubiaceae,0.55,genus,genus average
Palicourea,hoffmannseggiana,Rubiaceae,0.55,genus,genus average
Palicourea,longicuspis,Rubiaceae,0.55,genus,genus average
Palicourea,luxurians,Rubiaceae,0.55,genus,genus average
Palicourea,tomentosa,Rubiaceae,0.55,genus,genus average
Palicourea,pubescens,Rubiaceae,0.55,genus,genus average
Palicourea,racemosa,Rubiaceae,0.55,genus,genus average
Palicourea,suerrensis,Rubiaceae,0.55,genus,genus average
Panopsis,suaveolens,Proteaceae,0.512,genus,genus average
Parathesis,amplifolia,Primulaceae,0.62,genus,genus average
Parinari,chocoensis,Chrysobalanaceae,0.713,genus,genus average
Parkia,nitida,Fabaceae,0.383,species,local data base
Parkinsonia,aculeata,Fabaceae,0.622,species, global data base
Parmentiera,cereifera,Bignoniaceae,0.592,stand-level average,
Parmentiera,macrophylla,Bignoniaceae,0.592,stand-level average,
Pavonia,dasypetala,Malvaceae,0.592,stand-level average,
Pelliciera,rhizophorae,Tetrameristaceae,0.592,stand-level average,
Pentagonia,gymnopoda,Rubiaceae,0.592,stand-level average,
Pentagonia,macrophylla,Rubiaceae,0.592,stand-level average,
Pentagonia,parvifolia,Rubiaceae,0.592,stand-level average,
Pentagonia,wendlandii,Rubiaceae,0.592,stand-level average,
Pentagonia,costaricensis,Rubiaceae,0.592,stand-level average,
Pera,arborea,Peraceae,0.73,species,local data base
Pera,oppositifolia,Peraceae,0.666,genus,genus average
Perebea,angustifolia,Moraceae,0.517,species,local data base
Perebea,guianensis,Moraceae,0.56,species,local data base
Perebea,xanthochyma,Moraceae,0.56,species,local data base
Pereskia,bleo,Cactaceae,0.592,stand-level average,
Persea,americana,Lauraceae,0.549,species, global data base
Photinia,microcarpa,Rosaceae,0.724,genus,genus average
Phyllanthus,acuminatus,Phyllanthaceae,0.613,genus,genus average
Phytelephas,seemannii,Arecaceae,0.592,stand-level average,
Picramnia,latifolia,Picramniaceae,0.592,stand-level average,
Pinus,caribaea,Pinaceae,0.571,species, global data base
Piper,hispidum,Piperaceae,0.393,species,local data base
Piper,aduncum,Piperaceae,0.393,genus,genus average
Piper,aequale,Piperaceae,0.393,genus,genus average
Piper,amalago,Piperaceae,0.393,genus,genus average
Piper,arboreum,Piperaceae,0.393,genus,genus average
Piper,augustum,Piperaceae,0.393,genus,genus average
Piper,auritum,Piperaceae,0.393,genus,genus average
Piper,cordulatum,Piperaceae,0.393,genus,genus average
Piper,fimbriulatum,Piperaceae,0.393,genus,genus average
Piper,grande,Piperaceae,0.393,genus,genus average
Piper,hirtellipetiolum,Piperaceae,0.393,genus,genus average
Piper,longispicum,Piperaceae,0.393,genus,genus average
Piper,marginatum,Piperaceae,0.393,genus,genus average
Piper,perlasense,Piperaceae,0.393,genus,genus average
Piper,phytolaccifolium,Piperaceae,0.393,genus,genus average
Piper,reticulatum,Piperaceae,0.33,species,local data base
Piper,colonense,Piperaceae,0.393,genus,genus average
Piper,schiedeanum,Piperaceae,0.393,genus,genus average
Piper,imperiale,Piperaceae,0.393,genus,genus average
Piptocoma,discolor,Compositae,0.47,species, global data base
Pithecellobium,hymenaeifolium,Fabaceae,0.502,genus,genus average
Pithecellobium,lanceolatum,Fabaceae,0.502,genus,genus average
Pithecellobium,unguis-cati,Fabaceae,0.502,genus,genus average
Pittoniotis,trichantha,Rubiaceae,0.592,stand-level average,
Platymiscium,pinnatum,Fabaceae,0.721,species,local data base
Platypodium,elegans,Fabaceae,0.806,species,local data base
Pleuranthodendron,lindenii,Salicaceae,0.68,species,local data base
Pleurothyrium,aff.hexaglandulosum,Lauraceae,0.47,genus,genus average
Pleurothyrium,racemosum,Lauraceae,0.47,genus,genus average
Plinia,povedae,Myrtaceae,0.95,genus,genus average
Plumeria,rubra,Apocynaceae,0.5,species, global data base
Pochota,quinata,Malvaceae,0.592,stand-level average,
Podocarpus,guatemalensis,Podocarpaceae,0.4,species, global data base
Podocarpus,oleifolius,Podocarpaceae,0.453,species,local data base
Pogonopus,exsertus,Rubiaceae,0.592,stand-level average,
Pombalia,prunifolia,NA,0.592,stand-level average,
Posoqueria,latifolia,Rubiaceae,0.57,species,local data base
Posoqueria,coriacea,Rubiaceae,0.575,genus,genus average
Potalia,turbinata,Gentianaceae,0.592,stand-level average,
Poulsenia,armata,Moraceae,0.35,species,local data base
Pourouma,bicolor,Urticaceae,0.353,species,local data base
Pourouma,minor,Urticaceae,0.436,species,local data base
Pouteria,glomerata,Sapotaceae,0.679,species,local data base
Pouteria,buenaventurensis,Sapotaceae,0.56,species,local data base
Pouteria,bulliformis,Sapotaceae,0.688,genus,genus average
Pouteria,calistophylla,Sapotaceae,0.688,genus,genus average
Pouteria,campechiana,Sapotaceae,0.79,species,local data base
Pouteria,cuspidata,Sapotaceae,0.9,species,local data base
Pouteria,fossicola,Sapotaceae,0.688,genus,genus average
Pouteria,foveolata,Sapotaceae,0.688,genus,genus average
Pouteria,leptopedicellata,Sapotaceae,0.688,genus,genus average
Pouteria,aff.sclerocarpa,Sapotaceae,0.688,genus,genus average
Pouteria,stipitata,Sapotaceae,0.688,genus,genus average
Pouteria,torta,Sapotaceae,0.769,species,local data base
Pouteria,reticulata,Sapotaceae,0.794,species,local data base
Pouteria,congestifolia,Sapotaceae,0.688,genus,genus average
Pouteria,durlandii,Sapotaceae,0.69,species,local data base
Pouteria,silvestris,Sapotaceae,0.688,genus,genus average
Pouteria,sapota,Sapotaceae,0.855,species, global data base
Preslianthus,panamensis,NA,0.592,stand-level average,
Preslianthus,pittieri,NA,0.592,stand-level average,
Prestoea,decurrens,Arecaceae,0.25,species,local data base
Prioria,copaifera,Fabaceae,0.414,species,local data base
Prockia,crucis,Salicaceae,0.58,species,local data base
Prosopis,juliflora,Fabaceae,0.794,species, global data base
Protium,tenuifolium,Burseraceae,0.57,species,local data base
Protium,aff.guianense,Burseraceae,0.568,genus,genus average
Protium,costaricense,Burseraceae,0.568,genus,genus average
Protium,glabrum,Burseraceae,0.568,genus,genus average
Protium,panamense,Burseraceae,0.452,species,local data base
Protium,trifoliolatum,Burseraceae,0.685,species,local data base
Protium,confusum,Burseraceae,0.568,genus,genus average
Pseudima,frutescens,Sapindaceae,0.8,species, global data base
Pseudobombax,septenatum,Malvaceae,0.212,species,local data base
Pseudolmedia,spuria,Moraceae,0.713,species,local data base
Pseudolmedia,laevigata,Moraceae,0.629,species,local data base
Pseudosamanea,guachapele,Fabaceae,0.592,stand-level average,
Psidium,friedrichsthalianum,Myrtaceae,0.855,genus,genus average
Psidium,guajava,Myrtaceae,0.652,species, global data base
Psychotria,calophylla,Rubiaceae,0.496,genus,genus average
Psychotria,chagrensis,Rubiaceae,0.496,genus,genus average
Psychotria,graciliflora,Rubiaceae,0.496,genus,genus average
Psychotria,grandis,Rubiaceae,0.295,species,local data base
Psychotria,horizontalis,Rubiaceae,0.496,genus,genus average
Psychotria,limonensis,Rubiaceae,0.496,genus,genus average
Psychotria,marginata,Rubiaceae,0.496,genus,genus average
Psychotria,micrantha,Rubiaceae,0.496,genus,genus average
Psychotria,nervosa,Rubiaceae,0.496,genus,genus average
Psychotria,panamensis,Rubiaceae,0.496,genus,genus average
Psychotria,psychotriifolia,Rubiaceae,0.496,genus,genus average
Psychotria,remota,Rubiaceae,0.496,genus,genus average
Psychotria,tenuifolia,Rubiaceae,0.496,genus,genus average
Pterocarpus,acapulcensis,Fabaceae,0.627,genus,genus average
Pterocarpus,officinalis,Fabaceae,0.383,species,local data base
Pterocarpus,hayesii,Fabaceae,0.627,genus,genus average
Quadrella,cynophallophora,Capparaceae,0.592,stand-level average,
Quadrella,antonensis,Capparaceae,0.592,stand-level average,
Quadrella,indica,Capparaceae,0.592,stand-level average,
Qualea,polychroma,Vochysiaceae,0.647,genus,genus average
Quararibea,asterolepis,Malvaceae,0.454,species,local data base
Quararibea,platyphylla,Malvaceae,0.488,genus,genus average
Quararibea,pumila,Malvaceae,0.488,genus,genus average
Quararibea,pterocalyx,Malvaceae,0.488,genus,genus average
Quassia,amara,Simaroubaceae,0.47,species,local data base
Quetzalia,occidentalis,Celastraceae,0.592,stand-level average,
Quiina,schippii,Ochnaceae,0.862,genus,genus average
Randia,campo_chagres,Rubiaceae,0.671,genus,genus average
Randia,aculeata,Rubiaceae,0.671,genus,genus average
Randia,armata,Rubiaceae,0.668,species,local data base
Randia,grandifolia,Rubiaceae,0.671,genus,genus average
Randia,lasiantha,Rubiaceae,0.671,genus,genus average
Randia,hondensis,Rubiaceae,0.671,genus,genus average
Raphia,taedigera,Arecaceae,0.592,stand-level average,
Raritebe,palicoureoides,Rubiaceae,0.592,stand-level average,
Rauvolfia,littoralis,Apocynaceae,0.486,genus,genus average
Rauvolfia,purpurascens,Apocynaceae,0.476,species, global data base
Rhizophora,mangle,Rhizophoraceae,0.898,species, global data base
Richeria,grandis,Phyllanthaceae,0.577,species, global data base
Ricinus,communis,Euphorbiaceae,0.592,stand-level average,
Rinorea,apiculata,Violaceae,0.681,genus,genus average
Rinorea,crenata,Violaceae,0.681,genus,genus average
Rinorea,dasyadena,Violaceae,0.681,genus,genus average
Rinorea,lindeniana,Violaceae,0.681,genus,genus average
Rinorea,squamata,Violaceae,0.681,genus,genus average
Rinorea,sylvatica,Violaceae,0.681,genus,genus average
Rinorea,hummelii,Violaceae,0.681,genus,genus average
Rogiera,amoena,Rubiaceae,0.592,stand-level average,
Ronabea,latifolia,Rubiaceae,0.592,stand-level average,
Rondeletia,hameliifolia,Rubiaceae,0.5,genus,genus average
Rondeletia,panamensis,Rubiaceae,0.5,genus,genus average
Rosenbergiodendron,formosum,Rubiaceae,0.592,stand-level average,
Roupala,montana,Proteaceae,0.783,species,local data base
Roupala,percoriacea,Proteaceae,0.837,genus,genus average
Roystonea,regia,Arecaceae,0.592,stand-level average,
Rudgea,cornifolia,Rubiaceae,0.57,genus,genus average
Rudgea,isthmensis,Rubiaceae,0.57,genus,genus average
Rudgea,pittieri,Rubiaceae,0.57,genus,genus average
Rudgea,skutchii,Rubiaceae,0.57,genus,genus average
Ruprechtia,costata,Polygonaceae,0.653,genus,genus average
Ruptiliocarpon,caracolito,Lepidobotryaceae,0.592,stand-level average,
Ryania,speciosa,Salicaceae,0.592,stand-level average,
Sacoglottis,ovicarpa,Humiriaceae,0.775,genus,genus average
Sacoglottis,trichogyna,Humiriaceae,0.775,genus,genus average
Salacia,juruana,Celastraceae,0.76,genus,genus average
Salacia,petenensis,Celastraceae,0.76,genus,genus average
Samanea,saman,Fabaceae,0.592,stand-level average,
Sapindus,saponaria,Sapindaceae,0.712,species,local data base
Sapium,broadleaf,Euphorbiaceae,0.419,genus,genus average
Sapium,glandulosum,Euphorbiaceae,0.415,species,local data base
Sapium,laurifolium,Euphorbiaceae,0.419,genus,genus average
Sarcaulus,brasiliensis,Sapotaceae,0.615,species,local data base
Saurauia,yasicae,Actinidiaceae,0.411,genus,genus average
Schefflera,morototoni,Araliaceae,0.456,species,local data base
Schizolobium,parahyba,Fabaceae,0.347,species,local data base
Schoenobiblus,panamensis,Thymelaeaceae,0.592,stand-level average,
Sciadodendron,excelsum,Araliaceae,0.53,species,local data base
Senegalia,riparia,Fabaceae,0.592,stand-level average,
Senna,bicapsularis,Fabaceae,0.603,genus,genus average
Senna,reticulata,Fabaceae,0.45,species, global data base
Senna,dariensis,Fabaceae,0.603,genus,genus average
Sideroxylon,capiri,Sapotaceae,0.76,species, global data base
Sideroxylon,celastrinum,Sapotaceae,0.849,genus,genus average
Sideroxylon,persimile,Sapotaceae,0.849,genus,genus average
Sideroxylon,cf.contrerasii,Sapotaceae,0.849,genus,genus average
Simaba,cedron,Simaroubaceae,0.474,species, global data base
Simaba,polyphylla,Simaroubaceae,0.41,genus,genus average
Simarouba,amara,Simaroubaceae,0.383,species,local data base
Simira,maxonii,Rubiaceae,0.615,species, global data base
Siparuna,conica,Siparunaceae,0.662,genus,genus average
Siparuna,cuspidata,Siparunaceae,0.655,species,local data base
Siparuna,grandiflora,Siparunaceae,0.662,genus,genus average
Siparuna,guianensis,Siparunaceae,0.662,genus,genus average
Siparuna,pauciflora,Siparunaceae,0.662,genus,genus average
Siparuna,thecaphora,Siparunaceae,0.662,genus,genus average
Siparuna,cristata,Siparunaceae,0.662,genus,genus average
Sloanea,laurifolia,Elaeocarpaceae,0.816,species,local data base
Sloanea,megaphylla,Elaeocarpaceae,0.609,genus,genus average
Sloanea,meianthera,Elaeocarpaceae,0.609,genus,genus average
Sloanea,zuliaensis,Elaeocarpaceae,0.609,genus,genus average
Sloanea,terniflora,Elaeocarpaceae,0.609,genus,genus average
Sloanea,medusula,Elaeocarpaceae,0.609,genus,genus average
Sloanea,obtusifolia,Elaeocarpaceae,0.609,genus,genus average
Socratea,exorrhiza,Arecaceae,0.23,species,local data base
Solanum,enves_purpura,Solanaceae,0.412,genus,genus average
Solanum,arboreum,Solanaceae,0.412,genus,genus average
Solanum,asperum,Solanaceae,0.412,genus,genus average
Solanum,hayesii,Solanaceae,0.412,genus,genus average
Solanum,jamaicense,Solanaceae,0.412,genus,genus average
Solanum,circinatum,Solanaceae,0.412,genus,genus average
Solanum,cordovense,Solanaceae,0.412,genus,genus average
Solanum,lepidotum,Solanaceae,0.412,genus,genus average
Sorocea,pubivena,Moraceae,0.605,genus,genus average
Sorocea,affinis,Moraceae,0.605,genus,genus average
Spachea,correae,Malpighiaceae,0.595,genus,genus average
Spachea,membranacea,Malpighiaceae,0.595,genus,genus average
Spathodea,campanulata,Bignoniaceae,0.351,species, global data base
Spondias,dulcis,Anacardiaceae,0.37,species,local data base
Spondias,mombin,Anacardiaceae,0.391,species,local data base
Spondias,purpurea,Anacardiaceae,0.33,species, global data base
Spondias,radlkoferi,Anacardiaceae,0.434,species,local data base
Stachyarrhena,heterochroa,Rubiaceae,0.82,genus,genus average
Stauranthus,perforatus,Rutaceae,0.592,stand-level average,
Stemmadenia,alfaroi,Apocynaceae,0.5,genus,genus average
Sterculia,costaricana,Malvaceae,0.405,genus,genus average
Sterculia,apetala,Malvaceae,0.392,species,local data base
Sterculia,recordiana,Malvaceae,0.49,species,local data base
Stylogyne,turbacensis,Primulaceae,0.483,genus,genus average
Swartzia,simplex,Fabaceae,0.849,genus,genus average
Swartzia,aff.sumorum,Fabaceae,0.849,genus,genus average
Swietenia,macrophylla,Meliaceae,0.52,species,local data base
Symphonia,globulifera,Clusiaceae,0.6,species,local data base
Symplocos,panamensis,Symplocaceae,0.534,genus,genus average
Synechanthus,warscewiczianus,Arecaceae,0.592,stand-level average,
Syzygium,jambos,Myrtaceae,0.7,species, global data base
Syzygium,malaccense,Myrtaceae,0.562,species, global data base
Tabebuia,rosea,Bignoniaceae,0.531,species,local data base
Tabebuia,striata,Bignoniaceae,0.762,genus,genus average
Tabernaemontana,arborea,Apocynaceae,0.526,genus,genus average
Tabernaemontana,longipes,Apocynaceae,0.526,genus,genus average
Tabernaemontana,panamensis,Apocynaceae,0.526,genus,genus average
Tabernaemontana,undulata,Apocynaceae,0.585,species,local data base
Tabernaemontana,grandiflora,Apocynaceae,0.526,genus,genus average
Tachigali,panamensis,Fabaceae,0.577,genus,genus average
Tachigali,costaricensis,Fabaceae,0.577,genus,genus average
Talauma,gloriensis,Magnoliaceae,0.592,stand-level average,
Talauma,sambuensis,Magnoliaceae,0.592,stand-level average,
Talipariti,tiliaceum,Malvaceae,0.543,species, global data base
Talisia,nervosa,Sapindaceae,0.833,genus,genus average
Talisia,croatii,Sapindaceae,0.833,genus,genus average
Tamarindus,indica,Fabaceae,0.978,species, global data base
Tapirira,guianensis,Anacardiaceae,0.457,species,local data base
Tapura,cubensis,Dichapetalaceae,0.64,genus,genus average
Tecoma,stans,Bignoniaceae,0.466,species, global data base
Tectona,grandis,Lamiaceae,0.601,species, global data base
Terminalia,amazonia,Combretaceae,0.674,species,local data base
Terminalia,catappa,Combretaceae,0.478,species, global data base
Terminalia,oblonga,Combretaceae,0.694,species,local data base
Terminalia,bucidoides,Combretaceae,0.63,genus,genus average
Terminalia,buceras,Combretaceae,0.63,genus,genus average
Ternstroemia,tepezapote,Pentaphylacaceae,0.616,genus,genus average
Tetragastris,panamensis,Burseraceae,0.717,species,local data base
Tetrathylacium,johansenii,Salicaceae,0.62,genus,genus average
Tetrathylacium,macrophyllum,Salicaceae,0.62,species,local data base
Tetrorchidium,euryphyllum,Euphorbiaceae,0.455,genus,genus average
Tetrorchidium,robledoanum,Euphorbiaceae,0.455,genus,genus average
Theobroma,bernoullii,Malvaceae,0.532,genus,genus average
Theobroma,cacao,Malvaceae,0.42,species,local data base
Theobroma,simiarum,Malvaceae,0.532,genus,genus average
Theobroma,speciosum,Malvaceae,0.63,species,local data base
Theobroma,bicolor,Malvaceae,0.532,genus,genus average
Thevetia,ahouai,Apocynaceae,0.72,genus,genus average
Tococa,guianensis,Melastomataceae,0.592,stand-level average,
Tocoyena,pittieri,Rubiaceae,0.62,genus,genus average
Tovomita,longifolia,Clusiaceae,0.695,genus,genus average
Tovomita,stylosa,Clusiaceae,0.695,genus,genus average
Tovomita,weddelliana,Clusiaceae,0.695,genus,genus average
Trattinnickia,aspera,Burseraceae,0.424,species,local data base
Trattinnickia,burserifolia,Burseraceae,0.46,species,local data base
Trema,micrantha,Cannabaceae,0.319,species,local data base
Trema,integerrima,Cannabaceae,0.3,species, global data base
Trema,unidentified,Cannabaceae,0.342,genus,genus average
Trichanthera,gigantea,Acanthaceae,0.45,species,local data base
Trichilia,hirta,Meliaceae,0.569,species,local data base
Trichilia,martiana,Meliaceae,0.47,species,local data base
Trichilia,pleeana,Meliaceae,0.675,species,local data base
Trichilia,poeppigii,Meliaceae,0.645,genus,genus average
Trichilia,quadrijuga,Meliaceae,0.548,species,local data base
Trichilia,septentrionalis,Meliaceae,0.645,genus,genus average
Trichilia,trifolia,Meliaceae,0.8,species, global data base
Trichilia,pallida,Meliaceae,0.7,species,local data base
Trichilia,tuberculata,Meliaceae,0.628,species,local data base
Trichospermum,galeottii,Malvaceae,0.27,species,local data base
Triplaris,cumingiana,Polygonaceae,0.52,species,local data base
Triumfetta,bogotensis,Malvaceae,0.592,stand-level average,
Trophis,racemosa,Moraceae,0.659,species,local data base
Trophis,caucana,Moraceae,0.47,species,local data base
Turnera,panamensis,Passifloraceae,0.592,stand-level average,
Turpinia,occidentalis,Staphyleaceae,0.342,species,local data base
Unidentified,pubescente,NA,0.592,stand-level average,
Unidentified,species,NA,0.592,stand-level average,
Unonopsis,panamensis,Annonaceae,0.534,genus,genus average
Unonopsis,pittieri,Annonaceae,0.368,species,local data base
Unonopsis,theobromifolia,Annonaceae,0.534,genus,genus average
Unonopsis,aff.veneficiorum,Annonaceae,0.534,genus,genus average
Unonopsis,peludo,Annonaceae,0.534,genus,genus average
Unonopsis,bullata,Annonaceae,0.534,genus,genus average
Unonopsis,storkii,Annonaceae,0.534,genus,genus average
Urera,baccifera,Urticaceae,0.22,species,local data base
Urera,caracasana,Urticaceae,0.316,species, global data base
Urera,laciniata,Urticaceae,0.342,genus,genus average
Vachellia,melanoceras,Fabaceae,0.592,stand-level average,
Vachellia,collinsii,Fabaceae,0.592,stand-level average,
Vantanea,depleta,Humiriaceae,0.837,genus,genus average
Varronia,curassavica,Boraginaceae,0.592,stand-level average,
Vasconcellea,cauliflora,Caricaceae,0.592,stand-level average,
Vatairea,erythrocarpa,Fabaceae,0.673,genus,genus average
Verbesina,gigantea,Compositae,0.592,stand-level average,
Verbesina,lanata,Compositae,0.592,stand-level average,
Vernonia,patens,Compositae,0.33,genus,genus average
Virola,elongata,Myristicaceae,0.523,species,local data base
Virola,koschnyi,Myristicaceae,0.408,species,local data base
Virola,macrocarpa,Myristicaceae,0.484,genus,genus average
Virola,megacarpa,Myristicaceae,0.484,genus,genus average
Virola,sebifera,Myristicaceae,0.445,species,local data base
Virola,multiflora,Myristicaceae,0.458,species,local data base
Virola,guatemalensis,Myristicaceae,0.52,species, global data base
Virola,nobilis,Myristicaceae,0.484,genus,genus average
Vismia,baccifera,Hypericaceae,0.43,species,local data base
Vismia,billbergiana,Hypericaceae,0.493,genus,genus average
Vismia,jefensis,Hypericaceae,0.493,genus,genus average
Vismia,macrophylla,Hypericaceae,0.494,species,local data base
Vitex,cooperi,Lamiaceae,0.565,genus,genus average
Vitex,cymosa,Lamiaceae,0.563,species,local data base
Vochysia,ferruginea,Vochysiaceae,0.41,species,local data base
Vochysia,jefensis,Vochysiaceae,0.486,genus,genus average
Vochysia,guatemalensis,Vochysiaceae,0.353,species,local data base
Waltheria,glomerata,Malvaceae,0.592,stand-level average,
Warszewiczia,coccinea,Rubiaceae,0.557,species,local data base
Welfia,regia,Arecaceae,0.4,species,local data base
Wettinia,quinaria,Arecaceae,0.592,stand-level average,
Witheringia,solanacea,Solanaceae,0.592,stand-level average,
Ximenia,americana,Olacaceae,0.856,species,local data base
Xylopia,aromatica,Annonaceae,0.561,species,local data base
Xylopia,bocatorena,Annonaceae,0.591,genus,genus average
Xylopia,frutescens,Annonaceae,0.593,species,local data base
Xylopia,macrantha,Annonaceae,0.874,species,local data base
Xylopia,sericea,Annonaceae,0.591,genus,genus average
Xylopia,roubik,Annonaceae,0.591,genus,genus average
Xylosma,chlorantha,Salicaceae,0.661,genus,genus average
Xylosma,oligandra,Salicaceae,0.661,genus,genus average
Xylosma,panamensis,Salicaceae,0.661,genus,genus average
Zamia,fairchildiana,Zamiaceae,0.592,stand-level average,
Zanthoxylum,acuminatum,Rutaceae,0.618,genus,genus average
Zanthoxylum,panamense,Rutaceae,0.49,species,local data base
Zanthoxylum,setulosum,Rutaceae,0.469,species,local data base
Zanthoxylum,ekmanii,Rutaceae,0.618,genus,genus average
Ziziphus,chloroxylon,Rhamnaceae,0.778,genus,genus average
Ziziphus,mauritiana,Rhamnaceae,0.618,species, global data base
Zuelania,guidonia,Salicaceae,0.583,species,local data base
Zygia,dinizii,Fabaceae,0.82,genus,genus average
Zygia,englesingii,Fabaceae,0.82,genus,genus average
Zygia,latifolia,Fabaceae,0.75,species, global data base
Zygia,longifolia,Fabaceae,0.71,species, global data base
